Audit Id: 1283 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_leave_scoring_no_btn | Date & Time: 24 Jan, 11:25 PM 
Audit Id: 1284 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: menu_match_officials | Date & Time: 24 Jan, 11:25 PM 
Audit Id: 1285 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: quick_settings_open | Date & Time: 24 Jan, 11:26 PM 
Audit Id: 1286 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: quick_settings_close | Date & Time: 24 Jan, 11:26 PM 
Audit Id: 1287 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 4 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: quick_option_change_scorer | Date & Time: 24 Jan, 11:26 PM 
Audit Id: 1288 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 5 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: resume_scoring | Date & Time: 24 Jan, 11:26 PM 
Audit Id: 1289 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 5 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:26 PM 
Audit Id: 1290 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 5 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:27 PM 
Audit Id: 1291 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 5 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:27 PM 
Audit Id: 1292 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 5 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:27 PM 
Audit Id: 1293 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 5 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:27 PM 
Audit Id: 1294 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 5 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 24 Jan, 11:27 PM 
Audit Id: 1295 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 24 Jan, 11:28 PM 
Audit Id: 1296 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 24 Jan, 11:28 PM 
Audit Id: 1297 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:29 PM 
Audit Id: 1298 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:29 PM 
Audit Id: 1299 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_four | Date & Time: 24 Jan, 11:29 PM 
Audit Id: 1300 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: select_out_of_caught_out | Date & Time: 24 Jan, 11:29 PM 
Audit Id: 1301 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:29 PM 
Audit Id: 1302 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:29 PM 
Audit Id: 1303 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_strike_change_batsman_select | Date & Time: 24 Jan, 11:29 PM 
Audit Id: 1304 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_strike_change_after_out | Date & Time: 24 Jan, 11:29 PM 
Audit Id: 1305 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_NB_bye | Date & Time: 24 Jan, 11:30 PM 
Audit Id: 1306 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:30 PM 
Audit Id: 1307 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:30 PM 
Audit Id: 1308 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:30 PM 
Audit Id: 1309 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:30 PM 
Audit Id: 1310 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 6 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 24 Jan, 11:30 PM 
Audit Id: 1311 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_wide_zero | Date & Time: 24 Jan, 11:31 PM 
Audit Id: 1312 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_wide_zero | Date & Time: 24 Jan, 11:31 PM 
Audit Id: 1313 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:32 PM 
Audit Id: 1314 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 24 Jan, 11:32 PM 
Audit Id: 1315 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_wide_zero | Date & Time: 24 Jan, 11:33 PM 
Audit Id: 1316 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 24 Jan, 11:33 PM 
Audit Id: 1317 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 24 Jan, 11:33 PM 
Audit Id: 1318 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:34 PM 
Audit Id: 1319 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:34 PM 
Audit Id: 1320 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:34 PM 
Audit Id: 1321 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:34 PM 
Audit Id: 1322 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:34 PM 
Audit Id: 1323 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 7 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:34 PM 
