Audit Id: 65 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_inning_start_next_inning | Date & Time: 18 Aug, 01:46 PM 
Audit Id: 66 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 5 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: innings_end_api_call | Date & Time: 18 Aug, 01:46 PM 
Audit Id: 67 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 5 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: start_innings_api_call | Date & Time: 18 Aug, 01:51 PM 
Audit Id: 68 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 0 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:53 PM 
Audit Id: 69 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 0 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:53 PM 
Audit Id: 70 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 0 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:54 PM 
Audit Id: 71 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 0 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:54 PM 
Audit Id: 72 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 0 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:55 PM 
Audit Id: 73 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 0 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:55 PM 
Audit Id: 74 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 0 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 18 Aug, 01:55 PM 
Audit Id: 75 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 1 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:57 PM 
Audit Id: 76 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 1 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:58 PM 
